gameId,gameCode,gameStatusText,gameDateTimeEst,weekNumber,weekName,ifNecessary,seriesText,seriesGameNumber,arenaName,arenaCity,postponedStatus,branchLink,homeTeam.teamTricode,awayTeam.teamTricode,homeTeam.teamId,awayTeam.teamId,homeTeam.score,awayTeam.score
0012400001,20241004/BOSDEN,Final,2024-10-04T12:00:00Z,0,,False,Neutral Site,,Etihad Arena,Abu Dhabi,A,,DEN,BOS,1610612743,1610612738,103,107
0012400002,20241004/NZBUTA,Final,2024-10-04T21:00:00Z,0,,False,,,Delta Center,Salt Lake City,A,,UTA,NZB,1610612762,15020,116,87
0012400003,20241004/MINLAL,Final,2024-10-04T22:30:00Z,0,,False,,,Acrisure Arena,Palm Desert,A,,LAL,MIN,1610612747,1610612750,107,124
0012400004,20241005/GSWLAC,Final,2024-10-05T19:00:00Z,0,,False,,,Stan Sheriff Center,Honolulu,A,,LAC,GSW,1610612746,1610612744,90,91
0012400005,20241006/DENBOS,Final,2024-10-06T10:00:00Z,0,,False,Neutral Site,,Etihad Arena,Abu Dhabi,A,,BOS,DEN,1610612738,1610612743,130,104
0012400006,20241006/NYKCHA,Final,2024-10-06T17:00:00Z,0,,False,,,Spectrum Center,Charlotte,A,,CHA,NYK,1610612766,1610612752,109,111
0012400007,20241006/WASTOR,Final,2024-10-06T19:30:00Z,0,,False,Neutral Site,,Bell Centre,Montreal,A,,TOR,WAS,1610612761,1610612764,125,98
0012400008,20241006/MILDET,Final,2024-10-06T20:00:00Z,0,,False,,,Little Caesars Arena,Detroit,A,,DET,MIL,1610612765,1610612749,120,87
0012400009,20241006/PHXLAL,Final,2024-10-06T21:30:00Z,0,,False,,,Acrisure Arena,Palm Desert,A,,LAL,PHX,1610612747,1610612756,114,118
0012400010,20241007/ORLNOP,Final,2024-10-07T13:30:00Z,0,,False,,,Smoothie King Center,New Orleans,A,,NOP,ORL,1610612740,1610612753,106,104
0012400011,20241007/NZBPHI,Final,2024-10-07T19:00:00Z,0,,False,,,Wells Fargo Center,Philadelphia,A,,PHI,NZB,1610612755,15020,139,84
0012400012,20241007/MEMDAL,Final,2024-10-07T20:00:00Z,0,,False,,,American Airlines Center,Dallas,A,,DAL,MEM,1610612742,1610612763,116,121
