gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0012100001,20211003/BKNLAL,2021-10-03,15:30:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612751,LAL,BKN,97,123,21-22
0012100002,20211004/PHITOR,2021-10-04,19:00:00,,Scotiabank Arena,Toronto,3,Final,1610612761,1610612755,TOR,PHI,123,107,21-22
0012100003,20211004/ORLBOS,2021-10-04,19:30:00,,TD Garden,Boston,3,Final,1610612738,1610612753,BOS,ORL,98,97,21-22
0012100004,20211004/ATLMIA,2021-10-04,19:30:00,,FTX Arena,Miami,3,Final,1610612748,1610612737,MIA,ATL,125,99,21-22
0012100005,20211004/NOPMIN,2021-10-04,20:00:00,,Target Center,Minneapolis,3,Final,1610612750,1610612740,MIN,NOP,117,114,21-22
0012100006,20211004/CHAOKC,2021-10-04,20:00:00,,Paycom Center,Oklahoma City,3,Final,1610612760,1610612766,OKC,CHA,97,113,21-22
0012100007,20211004/UTASAS,2021-10-04,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612762,SAS,UTA,111,85,21-22
0012100008,20211004/GSWPOR,2021-10-04,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612744,POR,GSW,107,121,21-22
0012100009,20211004/PHXSAC,2021-10-04,22:00:00,,Golden 1 Center,Sacramento,3,Final,1610612758,1610612756,SAC,PHX,117,106,21-22
0012100010,20211004/DENLAC,2021-10-04,22:30:00,,STAPLES Center,Los Angeles,3,Final,1610612746,1610612743,LAC,DEN,103,102,21-22
0012100011,20211005/INDNYK,2021-10-05,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612754,NYK,IND,125,104,21-22
0012100012,20211005/CLECHI,2021-10-05,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612739,CHI,CLE,131,95,21-22
0012100013,20211005/WASHOU,2021-10-05,20:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612764,HOU,WAS,125,119,21-22
0012100014,20211005/MILMEM,2021-10-05,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612749,MEM,MIL,87,77,21-22
0012100020,20211006/LALPHX,2021-10-06,18:00:00,,Footprint Center,Phoenix,3,Final,1610612756,1610612747,PHX,LAL,117,105,21-22
0012100015,20211006/SASDET,2021-10-06,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612759,DET,SAS,115,105,21-22
0012100016,20211006/CLEATL,2021-10-06,19:30:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612739,ATL,CLE,96,99,21-22
0012100017,20211006/ORLNOP,2021-10-06,20:00:00,,Smoothie King Center,New Orleans,3,Final,1610612740,1610612753,NOP,ORL,104,86,21-22
0012100018,20211006/UTADAL,2021-10-06,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612762,DAL,UTA,111,101,21-22
0012100019,20211006/DENGSW,2021-10-06,22:00:00,,Chase Center,San Francisco,3,Final,1610612744,1610612743,GSW,DEN,118,116,21-22
0012100021,20211006/SACLAC,2021-10-06,22:30:00,,STAPLES Center,Los Angeles,3,Final,1610612746,1610612758,LAC,SAC,98,113,21-22
0012100022,20211007/MEMCHA,2021-10-07,19:00:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612763,CHA,MEM,98,128,21-22
0012100023,20211007/TORPHI,2021-10-07,19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612761,PHI,TOR,125,113,21-22
0012100024,20211007/MIAHOU,2021-10-07,22:00:00,,Toyota Center,Houston,3,Final,1610612745,1610612748,HOU,MIA,106,113,21-22
0012100025,20211008/INDCLE,2021-10-08,19:00:00,,Rocket Mortgage FieldHouse,Cleveland,3,Final,1610612739,1610612754,CLE,IND,100,109,21-22
0012100026,20211008/MILBKN,2021-10-08,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612749,BKN,MIL,119,115,21-22
0012100027,20211008/NOPCHI,2021-10-08,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612740,CHI,NOP,121,85,21-22
0012100028,20211008/LACDAL,2021-10-08,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612746,DAL,LAC,122,114,21-22
0012100029,20211008/MIASAS,2021-10-08,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612748,SAS,MIA,105,109,21-22
0012100030,20211008/MINDEN,2021-10-08,21:00:00,,Ball Arena,Denver,3,Final,1610612743,1610612750,DEN,MIN,112,114,21-22
0012100031,20211008/LALGSW,2021-10-08,22:00:00,,Chase Center,San Francisco,3,Final,1610612744,1610612747,GSW,LAL,121,114,21-22
0012100032,20211009/TORBOS,2021-10-09,19:00:00,,TD Garden,Boston,3,Final,1610612738,1610612761,BOS,TOR,113,111,21-22
0012100033,20211009/NYKWAS,2021-10-09,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612752,WAS,NYK,99,117,21-22
0012100034,20211009/ATLMEM,2021-10-09,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612737,MEM,ATL,87,91,21-22
0012100035,20211010/SASORL,2021-10-10,18:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612759,ORL,SAS,100,101,21-22
0012100036,20211010/CHICLE,2021-10-10,19:00:00,,Rocket Mortgage FieldHouse,Cleveland,3,Final,1610612739,1610612741,CLE,CHI,101,102,21-22
0012100037,20211010/OKCMIL,2021-10-10,19:30:00,,Fiserv Forum,Milwaukee,3,Final,1610612749,1610612760,MIL,OKC,130,110,21-22
0012100038,20211010/PHXLAL,2021-10-10,22:00:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612756,LAL,PHX,94,123,21-22
0012100039,20211011/HOUTOR,2021-10-11,19:00:00,,Scotiabank Arena,Toronto,3,Final,1610612761,1610612745,TOR,HOU,107,92,21-22
0012100040,20211011/CHAMIA,2021-10-11,19:30:00,,FTX Arena,Miami,3,Final,1610612748,1610612766,MIA,CHA,104,103,21-22
0012100041,20211011/BKNPHI,2021-10-11,20:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612751,PHI,BKN,115,104,21-22
0012100042,20211011/DETMEM,2021-10-11,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612765,MEM,DET,127,92,21-22
0012100043,20211011/NOPUTA,2021-10-11,21:00:00,,Vivint Arena,Salt Lake City,3,Final,1610612762,1610612740,UTA,NOP,127,96,21-22
0012100044,20211011/SACPOR,2021-10-11,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612758,POR,SAC,93,107,21-22
0012100045,20211011/MINLAC,2021-10-11,22:30:00,,Toyota Arena,Ontario,3,Final,1610612746,1610612750,LAC,MIN,100,128,21-22
0012100046,20211012/TORWAS,2021-10-12,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612761,WAS,TOR,108,113,21-22
0012100047,20211012/GSWLAL,2021-10-12,22:30:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612744,LAL,GSW,99,111,21-22
0012100054,20211013/PORPHX,2021-10-13,17:00:00,,Footprint Center,Phoenix,3,Final,1610612756,1610612757,PHX,POR,119,74,21-22
0012100048,20211013/DALCHA,2021-10-13,18:30:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612742,CHA,DAL,59,127,21-22
0012100049,20211013/MEMIND,2021-10-13,19:00:00,,Gainbridge Fieldhouse,Indianapolis,3,Final,1610612754,1610612763,IND,MEM,109,107,21-22
0012100050,20211013/BOSORL,2021-10-13,19:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612738,ORL,BOS,103,102,21-22
0012100051,20211013/DETNYK,2021-10-13,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612765,NYK,DET,108,100,21-22
0012100052,20211013/DENOKC,2021-10-13,20:00:00,,Paycom Center,Oklahoma City,3,Final,1610612760,1610612743,OKC,DEN,108,99,21-22
0012100053,20211013/MILUTA,2021-10-13,21:00:00,,Vivint Arena,Salt Lake City,3,Final,1610612762,1610612749,UTA,MIL,124,120,21-22
0012100055,20211014/MIAATL,2021-10-14,19:00:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612748,ATL,MIA,127,92,21-22
0012100056,20211014/MINBKN,2021-10-14,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612750,BKN,MIN,107,101,21-22
0012100057,20211014/DENOKC,2021-10-14,20:00:00,,BOK Center,Tulsa,3,Final,1610612760,1610612743,OKC,DEN,107,113,21-22
0012100058,20211014/LALSAC,2021-10-14,22:00:00,,Golden 1 Center,Sacramento,3,Final,1610612758,1610612747,SAC,LAL,116,112,21-22
0012100059,20211015/BOSMIA,2021-10-15,18:30:00,,FTX Arena,Miami,3,Final,1610612748,1610612738,MIA,BOS,121,100,21-22
0012100060,20211015/PHIDET,2021-10-15,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612755,DET,PHI,112,108,21-22
0012100061,20211015/CLEIND,2021-10-15,19:00:00,,Gainbridge Fieldhouse,Indianapolis,3,Final,1610612754,1610612739,IND,CLE,94,110,21-22
0012100062,20211015/WASNYK,2021-10-15,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612764,NYK,WAS,115,113,21-22
0012100063,20211015/MEMCHI,2021-10-15,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612763,CHI,MEM,118,105,21-22
0012100064,20211015/DALMIL,2021-10-15,20:00:00,,Fiserv Forum,Milwaukee,3,Final,1610612749,1610612742,MIL,DAL,103,114,21-22
0012100065,20211015/HOUSAS,2021-10-15,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612745,SAS,HOU,126,98,21-22
0012100066,20211015/PORGSW,2021-10-15,22:00:00,,Chase Center,San Francisco,3,Final,1610612744,1610612757,GSW,POR,119,97,21-22
0022100001,20211019/BKNMIL,2021-10-19,19:30:00,,Fiserv Forum,Milwaukee,3,Final,1610612749,1610612751,MIL,BKN,127,104,21-22
0022100002,20211019/GSWLAL,2021-10-19,22:00:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612744,LAL,GSW,114,121,21-22
0022100003,20211020/INDCHA,2021-10-20,19:00:00,,Spectrum Center,Charlotte,3,Final,1610612766,1610612754,CHA,IND,123,122,21-22
0022100004,20211020/CHIDET,2021-10-20,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612741,DET,CHI,88,94,21-22
0022100005,20211020/BOSNYK,2021-10-20,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612738,NYK,BOS,138,134,21-22
0022100006,20211020/WASTOR,2021-10-20,19:30:00,,Scotiabank Arena,Toronto,3,Final,1610612761,1610612764,TOR,WAS,83,98,21-22
0022100007,20211020/CLEMEM,2021-10-20,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612739,MEM,CLE,132,121,21-22
0022100008,20211020/HOUMIN,2021-10-20,20:00:00,,Target Center,Minneapolis,3,Final,1610612750,1610612745,MIN,HOU,124,106,21-22
0022100009,20211020/PHINOP,2021-10-20,20:00:00,,Smoothie King Center,New Orleans,3,Final,1610612740,1610612755,NOP,PHI,97,117,21-22
0022100010,20211020/ORLSAS,2021-10-20,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612753,SAS,ORL,123,97,21-22
0022100011,20211020/OKCUTA,2021-10-20,21:00:00,,Vivint Arena,Salt Lake City,3,Final,1610612762,1610612760,UTA,OKC,107,86,21-22
0022100012,20211020/DENPHX,2021-10-20,22:00:00,,Footprint Center,Phoenix,3,Final,1610612756,1610612743,PHX,DEN,98,110,21-22
0022100013,20211020/SACPOR,2021-10-20,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612758,POR,SAC,121,124,21-22
0022100014,20211021/DALATL,2021-10-21,19:30:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612742,ATL,DAL,113,87,21-22
0022100015,20211021/MILMIA,2021-10-21,20:00:00,,FTX Arena,Miami,3,Final,1610612748,1610612749,MIA,MIL,137,95,21-22
0022100016,20211021/LACGSW,2021-10-21,22:00:00,,Chase Center,San Francisco,3,Final,1610612744,1610612746,GSW,LAC,115,113,21-22
0022100017,20211022/CHACLE,2021-10-22,19:00:00,,Rocket Mortgage FieldHouse,Cleveland,3,Final,1610612739,1610612766,CLE,CHA,112,123,21-22
0022100018,20211022/NYKORL,2021-10-22,19:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612752,ORL,NYK,96,121,21-22
0022100019,20211022/INDWAS,2021-10-22,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612754,WAS,IND,135,134,21-22
0022100020,20211022/TORBOS,2021-10-22,19:30:00,,TD Garden,Boston,3,Final,1610612738,1610612761,BOS,TOR,83,115,21-22
0022100021,20211022/BKNPHI,2021-10-22,19:30:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612751,PHI,BKN,109,114,21-22
0022100022,20211022/NOPCHI,2021-10-22,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612740,CHI,NOP,128,112,21-22
