gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0011900001,20190930/SDSHOU,2019-09-30,20:00:00,,Toyota Center,Houston,3,Final,1610612745,12329,HOU,SDS,140,71,19-20
0011900002,20191004/HOULAC,2019-10-04,01:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612746,1610612745,LAC,HOU,96,109,19-20
0011900003,20191004/INDSAC,2019-10-04,09:30:00,,NCSI Dome,Mumbai,3,Final,1610612758,1610612754,SAC,IND,131,132,19-20
0011900004,20191004/FRABKN,2019-10-04,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,12332,BKN,FRA,137,89,19-20
0011900005,20191005/SACIND,2019-10-05,09:30:00,,NCSI Dome,Mumbai,3,Final,1610612754,1610612758,IND,SAC,130,106,19-20
0011900006,20191005/LALGSW,2019-10-05,20:00:00,,Chase Center,San Francisco,3,Final,1610612744,1610612747,GSW,LAL,101,123,19-20
0011900007,20191005/ORLSAS,2019-10-05,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612753,SAS,ORL,89,125,19-20
0011900008,20191005/ADLUTA,2019-10-05,21:00:00,,Vivint Smart Home Arena,Salt Lake City,3,Final,1610612762,15019,UTA,ADL,133,81,19-20
0011900009,20191006/MACMEM,2019-10-06,15:00:00,,FedExForum,Memphis,3,Final,1610612763,93,MEM,MAC,123,88,19-20
0011900010,20191006/CHABOS,2019-10-06,18:00:00,,TD Garden,Boston,3,Final,1610612738,1610612766,BOS,CHA,107,106,19-20
0011900011,20191006/SDSLAC,2019-10-06,19:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612746,12329,LAC,SDS,127,87,19-20
0011900012,20191007/SLACLE,2019-10-07,18:00:00,,Rocket Mortgage FieldHouse,Cleveland,3,Final,1610612739,12330,CLE,SLA,120,89,19-20
0011900013,20191007/ORLDET,2019-10-07,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612753,DET,ORL,91,115,19-20
0011900014,20191007/NYKWAS,2019-10-07,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612752,WAS,NYK,99,104,19-20
0011900015,20191007/NOPATL,2019-10-07,19:30:00,,State Farm Arena,Atlanta,3,Final,1610612737,1610612740,ATL,NOP,109,133,19-20
0011900016,20191007/MILCHI,2019-10-07,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612749,CHI,MIL,112,122,19-20
