gid,gcode,etdate,ettime,seri,an,ac,st,stt,h.tid,v.tid,h.ta,v.ta,h.s,v.s,seas
0011700001,20170930/DENGSW,2017-09-30,20:30:00,,ORACLE Arena,Oakland,3,Final,1610612744,1610612743,GSW,DEN,102,108,17-18
0011700002,20170930/MINLAL,2017-09-30,22:00:00,,Honda Center,Anaheim,3,Final,1610612747,1610612750,LAL,MIN,99,108,17-18
0011700004,20171001/ATLMIA,2017-10-01,18:00:00,,AmericanAirlines Arena,Miami,3,Final,1610612748,1610612737,MIA,ATL,96,90,17-18
0011700003,20171001/LACTOR,2017-10-01,22:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612761,1610612746,TOR,LAC,121,113,17-18
0011700005,20171002/GUAWAS,2017-10-02,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,15018,WAS,GUA,126,96,17-18
0011700008,20171002/CHABOS,2017-10-02,19:30:00,,TD Garden,Boston,3,Final,1610612738,1610612766,BOS,CHA,94,82,17-18
0011700006,20171002/ORLMEM,2017-10-02,20:00:00,,FedExForum,Memphis,3,Final,1610612763,1610612753,MEM,ORL,92,84,17-18
0011700009,20171002/MILDAL,2017-10-02,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612749,DAL,MIL,106,104,17-18
0011700007,20171002/SYDUTA,2017-10-02,21:00:00,,Vivint Smart Home Arena,Salt Lake City,3,Final,1610612762,15015,UTA,SYD,108,83,17-18
0011700010,20171002/SASSAC,2017-10-02,22:00:00,,Golden 1 Center,Sacramento,3,Final,1610612758,1610612759,SAC,SAS,106,96,17-18
0011700011,20171002/DENLAL,2017-10-02,22:30:00,,STAPLES Center,Los Angeles,3,Final,1610612747,1610612743,LAL,DEN,107,113,17-18
0011700016,20171003/BKNNYK,2017-10-03,19:30:00,,Madison Square Garden,New York,3,Final,1610612752,1610612751,NYK,BKN,107,115,17-18
0011700012,20171003/CHINOP,2017-10-03,20:00:00,,Smoothie King Center,New Orleans,3,Final,1610612740,1610612741,NOP,CHI,109,113,17-18
0011700013,20171003/HOUOKC,2017-10-03,20:00:00,,BOK Center,Tulsa,3,Final,1610612760,1610612745,OKC,HOU,97,104,17-18
0011700014,20171003/PHXPOR,2017-10-03,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612756,POR,PHX,112,114,17-18
0011700015,20171004/TORLAC,2017-10-04,01:00:00,,Stan Sheriff Center,Honolulu,3,Final,1610612746,1610612761,LAC,TOR,98,84,17-18
0011700017,20171004/MEMPHI,2017-10-04,19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612763,PHI,MEM,89,110,17-18
0011700018,20171004/ATLCLE,2017-10-04,19:00:00,,Quicken Loans Arena,Cleveland,3,Final,1610612739,1610612737,CLE,ATL,93,109,17-18
0011700019,20171004/CHADET,2017-10-04,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612766,DET,CHA,104,109,17-18
0011700020,20171004/INDMIL,2017-10-04,20:00:00,,BMO Harris Bradley Center,Milwaukee,3,Final,1610612749,1610612754,MIL,IND,86,104,17-18
0011700023,20171004/CHIDAL,2017-10-04,20:30:00,,American Airlines Center,Dallas,3,Final,1610612742,1610612741,DAL,CHI,118,71,17-18
0011700021,20171004/MACUTA,2017-10-04,21:00:00,,Vivint Smart Home Arena,Salt Lake City,3,Final,1610612762,93,UTA,MAC,117,78,17-18
0011700022,20171004/DENLAL,2017-10-04,22:00:00,,Toyota Arena,Ontario,3,Final,1610612747,1610612743,LAL,DEN,104,122,17-18
0011700024,20171005/MINGSW,2017-10-05,02:00:00,,Shenzhen Universiade Center,"Shenzhen, China",3,Final,1610612744,1610612750,GSW,MIN,95,111,17-18
0011700025,20171005/DALORL,2017-10-05,19:00:00,,Amway Center,Orlando,3,Final,1610612753,1610612742,ORL,DAL,112,89,17-18
0011700028,20171005/MIABKN,2017-10-05,19:30:00,,Barclays Center,Brooklyn,3,Final,1610612751,1610612748,BKN,MIA,107,88,17-18
0011700026,20171005/SDSHOU,2017-10-05,20:00:00,,Toyota Center,Houston,3,Final,1610612745,12329,HOU,SDS,144,82,17-18
0011700027,20171005/TORPOR,2017-10-05,22:00:00,,Moda Center,Portland,3,Final,1610612757,1610612761,POR,TOR,106,101,17-18
0011700029,20171006/BOSPHI,2017-10-06,19:00:00,,Wells Fargo Center,Philadelphia,3,Final,1610612755,1610612738,PHI,BOS,102,110,17-18
0011700030,20171006/NYKWAS,2017-10-06,19:00:00,,Capital One Arena,Washington,3,Final,1610612764,1610612752,WAS,NYK,104,100,17-18
0011700031,20171006/ATLDET,2017-10-06,19:00:00,,Little Caesars Arena,Detroit,3,Final,1610612765,1610612737,DET,ATL,109,87,17-18
0011700035,20171006/INDCLE,2017-10-06,19:30:00,,Quicken Loans Arena,Cleveland,3,Final,1610612739,1610612754,CLE,IND,102,106,17-18
0011700032,20171006/MILCHI,2017-10-06,20:00:00,,United Center,Chicago,3,Final,1610612741,1610612749,CHI,MIL,114,101,17-18
0011700033,20171006/NOPOKC,2017-10-06,20:00:00,,Chesapeake Energy Arena,Oklahoma City,3,Final,1610612760,1610612740,OKC,NOP,102,91,17-18
0011700036,20171006/SACSAS,2017-10-06,20:30:00,,AT&T Center,San Antonio,3,Final,1610612759,1610612758,SAS,SAC,113,93,17-18
0011700034,20171006/PHXUTA,2017-10-06,21:00:00,,Vivint Smart Home Arena,Salt Lake City,3,Final,1610612762,1610612756,UTA,PHX,112,101,17-18
